datetime_utc,percentage(t-11),wind_100(t-11),percentage(t-10),wind_100(t-10),percentage(t-9),wind_100(t-9),percentage(t-8),wind_100(t-8),percentage(t-7),wind_100(t-7),percentage(t-6),wind_100(t-6),percentage(t-5),wind_100(t-5),percentage(t-4),wind_100(t-4),percentage(t-3),wind_100(t-3),percentage(t-2),wind_100(t-2),percentage(t-1),wind_100(t-1),percentage(t),wind_100(t),wind_100(t+1),wind_100(t+2),wind_100(t+3),wind_100(t+4),wind_100(t+5),wind_100(t+6)
2020-05-08 23:00:00+00:00,0.13337304238469821,4.983692,0.1303761089382393,5.1844873,0.1499036964265834,5.1706357,0.16239197512208176,5.015054,0.18323111699397096,4.7093635,0.1966697974166762,4.5082717,0.2026446562750502,4.3584623,0.18684264355735708,4.1456122,0.1712940713002526,4.111759,0.16956434015673608,4.1095223,0.1682971378537937,4.072044,0.15014446486414235,3.9071848,3.808133,3.7779377,3.851732,3.961705,3.9806547,3.8479977
2020-05-09 00:00:00+00:00,0.1303761089382393,5.1844873,0.1499036964265834,5.1706357,0.16239197512208176,5.015054,0.18323111699397096,4.7093635,0.1966697974166762,4.5082717,0.2026446562750502,4.3584623,0.18684264355735708,4.1456122,0.1712940713002526,4.111759,0.16956434015673608,4.1095223,0.1682971378537937,4.072044,0.15014446486414235,3.9071848,0.14165420943442772,3.808133,3.7779377,3.851732,3.961705,3.9806547,3.8479977,4.0421305
2020-05-09 01:00:00+00:00,0.1499036964265834,5.1706357,0.16239197512208176,5.015054,0.18323111699397096,4.7093635,0.1966697974166762,4.5082717,0.2026446562750502,4.3584623,0.18684264355735708,4.1456122,0.1712940713002526,4.111759,0.16956434015673608,4.1095223,0.1682971378537937,4.072044,0.15014446486414235,3.9071848,0.14165420943442772,3.808133,0.14956788781630337,3.7779377,3.851732,3.961705,3.9806547,3.8479977,4.0421305,4.480387
2020-05-09 02:00:00+00:00,0.16239197512208176,5.015054,0.18323111699397096,4.7093635,0.1966697974166762,4.5082717,0.2026446562750502,4.3584623,0.18684264355735708,4.1456122,0.1712940713002526,4.111759,0.16956434015673608,4.1095223,0.1682971378537937,4.072044,0.15014446486414235,3.9071848,0.14165420943442772,3.808133,0.14956788781630337,3.7779377,0.1291595947274145,3.851732,3.961705,3.9806547,3.8479977,4.0421305,4.480387,5.002131
2020-05-09 03:00:00+00:00,0.18323111699397096,4.7093635,0.1966697974166762,4.5082717,0.2026446562750502,4.3584623,0.18684264355735708,4.1456122,0.1712940713002526,4.111759,0.16956434015673608,4.1095223,0.1682971378537937,4.072044,0.15014446486414235,3.9071848,0.14165420943442772,3.808133,0.14956788781630337,3.7779377,0.1291595947274145,3.851732,0.11834402307180027,3.961705,3.9806547,3.8479977,4.0421305,4.480387,5.002131,5.329457
2020-05-09 04:00:00+00:00,0.1966697974166762,4.5082717,0.2026446562750502,4.3584623,0.18684264355735708,4.1456122,0.1712940713002526,4.111759,0.16956434015673608,4.1095223,0.1682971378537937,4.072044,0.15014446486414235,3.9071848,0.14165420943442772,3.808133,0.14956788781630337,3.7779377,0.1291595947274145,3.851732,0.11834402307180027,3.961705,0.11307246149155932,3.9806547,3.8479977,4.0421305,4.480387,5.002131,5.329457,5.632954
2020-05-09 05:00:00+00:00,0.2026446562750502,4.3584623,0.18684264355735708,4.1456122,0.1712940713002526,4.111759,0.16956434015673608,4.1095223,0.1682971378537937,4.072044,0.15014446486414235,3.9071848,0.14165420943442772,3.808133,0.14956788781630337,3.7779377,0.1291595947274145,3.851732,0.11834402307180027,3.961705,0.11307246149155932,3.9806547,0.1145487521744876,3.8479977,4.0421305,4.480387,5.002131,5.329457,5.632954,5.8806615
2020-05-09 06:00:00+00:00,0.18684264355735708,4.1456122,0.1712940713002526,4.111759,0.16956434015673608,4.1095223,0.1682971378537937,4.072044,0.15014446486414235,3.9071848,0.14165420943442772,3.808133,0.14956788781630337,3.7779377,0.1291595947274145,3.851732,0.11834402307180027,3.961705,0.11307246149155932,3.9806547,0.1145487521744876,3.8479977,0.1005208226809141,4.0421305,4.480387,5.002131,5.329457,5.632954,5.8806615,5.9988503
2020-05-09 07:00:00+00:00,0.1712940713002526,4.111759,0.16956434015673608,4.1095223,0.1682971378537937,4.072044,0.15014446486414235,3.9071848,0.14165420943442772,3.808133,0.14956788781630337,3.7779377,0.1291595947274145,3.851732,0.11834402307180027,3.961705,0.11307246149155932,3.9806547,0.1145487521744876,3.8479977,0.1005208226809141,4.0421305,0.07590541794625599,4.480387,5.002131,5.329457,5.632954,5.8806615,5.9988503,5.9788036
2020-05-09 08:00:00+00:00,0.16956434015673608,4.1095223,0.1682971378537937,4.072044,0.15014446486414235,3.9071848,0.14165420943442772,3.808133,0.14956788781630337,3.7779377,0.1291595947274145,3.851732,0.11834402307180027,3.961705,0.11307246149155932,3.9806547,0.1145487521744876,3.8479977,0.1005208226809141,4.0421305,0.07590541794625599,4.480387,0.0805623864095697,5.002131,5.329457,5.632954,5.8806615,5.9988503,5.9788036,5.884217
