valid_time,u100,v100,u10,v10,wind_10,wind_100
2020-01-04 03:00:00,-0.28517097,-2.4247372,0.08060405,-1.5110245,2.3417568,3.731058
2020-01-04 04:00:00,-0.36891845,-2.4430294,0.01452239,-1.5361208,2.392913,3.7990184
2020-01-04 05:00:00,-0.42658338,-2.4444003,-0.027776178,-1.549784,2.4309642,3.8115718
2020-01-04 06:00:00,-0.5605808,-2.523314,-0.13804044,-1.6078554,2.4811945,3.8640015
2020-01-04 07:00:00,-0.76775396,-2.5410404,-0.29067656,-1.6324116,2.5438569,3.955048
2020-01-04 08:00:00,-0.93998414,-2.5632918,-0.41835937,-1.647307,2.6052127,4.0367575
2020-01-04 09:00:00,-1.089591,-2.5020187,-0.6114777,-1.7314379,2.7515955,4.0080857
2020-01-04 10:00:00,-1.1988263,-2.4948552,-0.8363117,-1.8453585,2.9027512,3.93082
2020-01-04 11:00:00,-1.3591189,-2.3462155,-1.0654887,-1.8345748,3.0365934,3.8815265
2020-01-04 12:00:00,-1.4596694,-2.2078683,-1.1658576,-1.7392288,3.08021,3.8820093
2020-01-04 13:00:00,-1.4683394,-2.1020663,-1.1812994,-1.6549675,3.09201,3.886049
2020-01-04 14:00:00,-1.4433026,-2.0378094,-1.167329,-1.5985496,3.0541878,3.848795
2020-01-04 15:00:00,-1.4613583,-1.9899848,-1.1768421,-1.5412252,3.0178478,3.8579202
2020-01-04 16:00:00,-1.4250754,-1.9841439,-1.0751948,-1.4217398,2.8375573,3.900998
2020-01-04 17:00:00,-1.4179326,-2.056185,-0.86344254,-1.3459475,2.695387,4.036957
2020-01-04 18:00:00,-1.491826,-2.1966736,-0.8473771,-1.4279281,2.8137383,4.2583323
2020-01-04 19:00:00,-1.5685843,-2.2509868,-0.84926766,-1.4652425,2.8882515,4.4112797
2020-01-04 20:00:00,-1.6446968,-2.2005212,-0.87953556,-1.4328239,2.937303,4.5000715
2020-01-04 21:00:00,-1.6333444,-2.0331013,-0.8634758,-1.3256822,2.9098618,4.4459734
2020-01-04 22:00:00,-1.520568,-2.079906,-0.7887448,-1.3552786,2.8872776,4.3983355
2020-01-04 23:00:00,-1.5122801,-1.9311193,-0.7951413,-1.2709017,2.8362744,4.2952185
2020-01-05 00:00:00,-1.4877315,-1.8150828,-0.7984587,-1.2062868,2.7811368,4.178635
2020-01-05 01:00:00,-1.4800998,-1.6794554,-0.8052294,-1.1255918,2.7648242,4.1032715
2020-01-05 02:00:00,-1.437359,-1.4952018,-0.77969015,-1.0370353,2.7302384,3.9943297
2020-01-05 03:00:00,-1.4060588,-1.4416502,-0.77711904,-1.0050641,2.723004,3.9575746
2020-01-05 04:00:00,-1.3547227,-1.3338145,-0.7698618,-0.9383916,2.6710896,3.8567145
2020-01-05 05:00:00,-1.3067973,-1.3336257,-0.74742466,-0.93086034,2.6409445,3.8033886
2020-01-05 06:00:00,-1.3019749,-1.2629443,-0.75579685,-0.87167454,2.6145718,3.7381868
2020-01-05 07:00:00,-1.3548256,-1.2268518,-0.79018104,-0.8243213,2.6143482,3.7174811
2020-01-05 08:00:00,-1.4203581,-1.1179137,-0.82657546,-0.73949236,2.6021814,3.6792767
2020-01-05 09:00:00,-1.463343,-1.01227,-0.8920132,-0.7366801,2.6897259,3.6128094
2020-01-05 10:00:00,-1.2874805,-1.0537239,-0.84006053,-0.73090327,2.5788286,3.4706116
2020-01-05 11:00:00,-1.1065302,-0.8420386,-0.83121765,-0.6643253,2.4705253,3.0829375
2020-01-05 12:00:00,-0.9826581,-0.7204548,-0.7791574,-0.5879516,2.4156137,2.9130611
2020-01-05 13:00:00,-0.983268,-0.71359384,-0.79033893,-0.58461225,2.3049529,2.7550633
2020-01-05 14:00:00,-0.98763126,-0.6413691,-0.79994553,-0.5357849,2.2004476,2.619553
2020-01-05 15:00:00,-1.1041197,-0.68422884,-0.8962785,-0.5599663,2.1132245,2.5472174
2020-01-05 16:00:00,-1.134077,-0.69137424,-0.8555497,-0.4985404,1.9697841,2.5377173
2020-01-05 17:00:00,-1.1921033,-0.7761657,-0.83384025,-0.6022997,2.100051,2.5924888
2020-01-05 18:00:00,-1.3069811,-0.79441184,-0.9188856,-0.6496448,2.0710125,2.5819938
2020-01-05 19:00:00,-1.4563463,-0.70477283,-1.051098,-0.5812302,2.0753055,2.5805023
2020-01-05 20:00:00,-1.5804079,-0.59567827,-1.1372583,-0.5123011,2.1034021,2.5999372
2020-01-05 21:00:00,-1.685208,-0.42976803,-1.1995125,-0.4252827,2.1079907,2.655308
2020-01-05 22:00:00,-1.586219,-0.22330415,-1.1609937,-0.31325102,2.1411679,2.7445917
2020-01-05 23:00:00,-1.5438164,-0.18737192,-1.1171925,-0.31934258,2.0940862,2.759397
2020-01-06 00:00:00,-1.5601553,-0.15362853,-1.110073,-0.31556752,2.0627868,2.774199
2020-01-06 01:00:00,-1.4855812,-0.17769356,-1.0553795,-0.3530301,2.0562646,2.7714984
2020-01-06 02:00:00,-1.4617068,-0.17600156,-1.0540565,-0.38114762,2.1155765,2.8588307
2020-01-06 03:00:00,-1.4187052,-0.20760223,-1.0409741,-0.40986136,2.1720834,2.9218154
2020-01-06 04:00:00,-1.369871,-0.20894043,-1.0148011,-0.41875842,2.212251,2.9615219
2020-01-06 05:00:00,-1.2301733,-0.22703889,-0.93789184,-0.41049433,2.1953602,2.9272678
2020-01-06 06:00:00,-1.1584833,-0.26420134,-0.90853804,-0.40904555,2.2244666,2.9338186
2020-01-06 07:00:00,-1.0738548,-0.2545743,-0.83992636,-0.38698325,2.2648425,2.9616592
2020-01-06 08:00:00,-1.0263298,-0.18427703,-0.8011101,-0.33214152,2.2558482,2.9552035
2020-01-06 09:00:00,-0.96108896,-0.16928479,-0.7957558,-0.30846277,2.254558,2.8824253
